word_texts,lemmas,postag_descriptions,sonad
":,:",":,:",lausemärk,":,:Välän k"
Välän,Välän,pärisnimi,":,:Välän k"
külmetas,külmetama,tegusõna,":,:Välän k"
ja,ja,sidesõna,":,:Välän k"
taivast,taiv,omadussõna algvõrre,":,:Välän k"
satas,sata,nimisõna,":,:Välän k"
lummõ,lummõ,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
Ütle,ütlema,tegusõna,":,:Välän k"
mullõ,mullõ,nimisõna,":,:Välän k"
uma,uma,nimisõna,":,:Välän k"
telefoninummõr,telefoninummõr,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
Hamõ,Hamõ,pärisnimi,":,:Välän k"
õhukõ,õhukõ,nimisõna,":,:Välän k"
",",",",lausemärk,":,:Välän k"
su,sina,asesõna,":,:Välän k"
sälän,sälän,nimisõna,":,:Välän k"
prunts,prunts,nimisõna,":,:Välän k"
om,om,lühend,":,:Välän k"
tummõ,tummõ,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
Ütle,ütlema,tegusõna,":,:Välän k"
mullõ,mullõ,nimisõna,":,:Välän k"
uma,uma,nimisõna,":,:Välän k"
telefoninummõr,telefoninummõr,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
Hammõst,Hammõ,pärisnimi,":,:Välän k"
läbi,läbi,määrsõna,":,:Välän k"
paistus,paistus,nimisõna,":,:Välän k"
rõnnakõnõ,rõnnakõnõ,nimisõna,":,:Välän k"
kummõr,kummõr,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
Ütle,ütlema,tegusõna,":,:Välän k"
mullõ,mullõ,nimisõna,":,:Välän k"
uma,uma,nimisõna,":,:Välän k"
telefoninummõr,telefoninummõr,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
Sis,Sis,pärisnimi,":,:Välän k"
meil,mina,asesõna,":,:Välän k"
tulõva,tulõva,nimisõna,":,:Välän k"
Fiesta,Fiesta,pärisnimi,":,:Välän k"
ja,ja,sidesõna,":,:Välän k"
Rock,rock,nimisõna,":,:Välän k"
Summõr,Summõr,pärisnimi,":,:Välän k"
.,.,lausemärk,":,:Välän k"
Utle,Utle,pärisnimi,":,:Välän k"
mullõ,mullõ,nimisõna,":,:Välän k"
uma,uma,nimisõna,":,:Välän k"
telefoninummõr,telefoninummõr,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
Sis,Sis,pärisnimi,":,:Välän k"
ku,ku,lühend,":,:Välän k"
kulmetas,kulmetas,nimisõna,":,:Välän k"
ja,ja,sidesõna,":,:Välän k"
välän,välän,nimisõna,":,:Välän k"
satas,sata,nimisõna,":,:Välän k"
lummõ,lummõ,nimisõna,":,:Välän k"
",",",",lausemärk,":,:Välän k"
utle,utle,nimisõna,":,:Välän k"
mullõ,mullõ,nimisõna,":,:Välän k"
uma,uma,nimisõna,":,:Välän k"
telefoninummõr,telefoninummõr,nimisõna,":,:Välän k"
.,.,lausemärk,":,:Välän k"
":,:",":,:",lausemärk,":,:Välän k"
Taevas,taevas,nimisõna,Taevas sin
sinetav,sinetav,omadussõna algvõrre,Taevas sin
ja,ja,sidesõna,Taevas sin
hämar,hämar,omadussõna algvõrre,Taevas sin
",",",",lausemärk,Taevas sin
kuhugi,kuhugi,määrsõna,Taevas sin
on,olema,tegusõna,Taevas sin
kadund,kadund,nimisõna,Taevas sin
kuu,kuu,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Sulalumine,sulalumine,omadussõna algvõrre,Taevas sin
on,olema,tegusõna,Taevas sin
tänav,tänav,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
akna,aken,nimisõna,Taevas sin
all,all,kaassõna,Taevas sin
on,olema,tegusõna,Taevas sin
raagus,raagus,omadussõna algvõrre,Taevas sin
puu,puu,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Lume,lumi,nimisõna,Taevas sin
sisse,sisse,kaassõna,Taevas sin
pikad,pikk,omadussõna algvõrre,Taevas sin
triibud,triip,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
teinud,tegema|teinud,,Taevas sin
Sinu,sina,asesõna,Taevas sin
Soome,Soome,pärisnimi,Taevas sin
kelk,kelk,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Nukralt,nukralt,määrsõna,Taevas sin
seljatoele,seljatugi,nimisõna,Taevas sin
liibud,liibuma,tegusõna,Taevas sin
",",",",lausemärk,Taevas sin
silmis,silm,nimisõna,Taevas sin
äraolev,äraolev,omadussõna algvõrre,Taevas sin
helk,helk,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
kohtume,kohtuma,tegusõna,Taevas sin
me,mina,asesõna,Taevas sin
täna,täna,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
õhtusinas,õhtusina,nimisõna,Taevas sin
laternate,latern,nimisõna,Taevas sin
all,all,kaassõna,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
lapsepõlv,lapsepõlv,nimisõna,Taevas sin
on,olema,tegusõna,Taevas sin
möödas,möödas,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
varakevadisel,varakevadine,omadussõna algvõrre,Taevas sin
tänaval,tänav,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Sul,sina,asesõna,Taevas sin
on,olema,tegusõna,Taevas sin
suvepäike,suvepäike,nimisõna,Taevas sin
põues,põu,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
kevadõhtu,kevadõhtu,nimisõna,Taevas sin
on,olema,tegusõna,Taevas sin
Su,sina,asesõna,Taevas sin
vend,vend,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Soovin,soovima,tegusõna,Taevas sin
",",",",lausemärk,Taevas sin
et,et,sidesõna,Taevas sin
siinsamas,siinsamas,määrsõna,Taevas sin
õues,õu,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
riietaksid,riietama,tegusõna,Taevas sin
lahti,lahti,määrsõna,Taevas sin
end,ise,asesõna,Taevas sin
.,.,lausemärk,Taevas sin
Päästad,päästma,tegusõna,Taevas sin
mantli,mantel,nimisõna,Taevas sin
hõlmad,hõlm,nimisõna,Taevas sin
valla,valla,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
kleidinööbid,kleidinööp,nimisõna,Taevas sin
lahti,lahti,määrsõna,Taevas sin
eest,eest,määrsõna,Taevas sin
.,.,lausemärk,Taevas sin
Tulvaveega,tulvavesi,nimisõna,Taevas sin
rentslist,rentsel,nimisõna,Taevas sin
alla,alla,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
häbelikkus,häbelikkus,nimisõna,Taevas sin
kaob,kaduma,tegusõna,Taevas sin
Su,sina,asesõna,Taevas sin
seest,seest,kaassõna,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
kohtume,kohtuma,tegusõna,Taevas sin
me,mina,asesõna,Taevas sin
täna,täna,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
õhtusinas,õhtusina,nimisõna,Taevas sin
laternate,latern,nimisõna,Taevas sin
all,all,kaassõna,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
lapsepõlv,lapsepõlv,nimisõna,Taevas sin
on,olema,tegusõna,Taevas sin
möödas,möödas,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
varakevadisel,varakevadine,omadussõna algvõrre,Taevas sin
tänaval,tänav,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Seisad,seisma,tegusõna,Taevas sin
lumes,lumi,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
nagu,nagu,,Taevas sin
loodi,looma,tegusõna,Taevas sin
",",",",lausemärk,Taevas sin
tead,teadma,tegusõna,Taevas sin
",",",",lausemärk,Taevas sin
et,et,sidesõna,Taevas sin
tahan,tahtma,tegusõna,Taevas sin
tulla,tulema,tegusõna,Taevas sin
ma,mina,asesõna,Taevas sin
.,.,lausemärk,Taevas sin
Sinu,sina,asesõna,Taevas sin
tuppa,tuba,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
Sinu,sina,asesõna,Taevas sin
voodi,voodi,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
Sinuga,sina,asesõna,Taevas sin
koos,koos,määrsõna,Taevas sin
hullama,hullama,tegusõna,Taevas sin
.,.,lausemärk,Taevas sin
Tänasest,tänane,omadussõna algvõrre,Taevas sin
on,olema,tegusõna,Taevas sin
saanud,saama|saanud,,Taevas sin
eile,eile,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
triibulisse,triibuline,omadussõna algvõrre,Taevas sin
patja,padi,nimisõna,Taevas sin
pead,pea,nimisõna,Taevas sin
surume,suruma,tegusõna,Taevas sin
",",",",lausemärk,Taevas sin
ja,ja,sidesõna,Taevas sin
tundub,tunduma,tegusõna,Taevas sin
meile,mina,asesõna,Taevas sin
",",",",lausemärk,Taevas sin
inimesed,inimene,nimisõna,Taevas sin
kõik,kõik,asesõna,Taevas sin
on,olema,tegusõna,Taevas sin
head,hea,omadussõna algvõrre,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
kohtume,kohtuma,tegusõna,Taevas sin
me,mina,asesõna,Taevas sin
täna,täna,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
õhtusinas,õhtusina,nimisõna,Taevas sin
laternate,latern,nimisõna,Taevas sin
all,all,kaassõna,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
lapsepõlv,lapsepõlv,nimisõna,Taevas sin
on,olema,tegusõna,Taevas sin
möödas,möödas,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
varakevadisel,varakevadine,omadussõna algvõrre,Taevas sin
tänaval,tänav,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Hommikuses,hommikune,omadussõna algvõrre,Taevas sin
päikses,päike,nimisõna,Taevas sin
aga,aga,sidesõna,Taevas sin
",",",",lausemärk,Taevas sin
sinisilmad,sinisilm,nimisõna,Taevas sin
lahti,lahti,määrsõna,Taevas sin
teed,tee,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Kuulatad,kuulatama,tegusõna,Taevas sin
",",",",lausemärk,Taevas sin
kuis,kuis,määrsõna,Taevas sin
akna,aken,nimisõna,Taevas sin
taga,taga,kaassõna,Taevas sin
",",",",lausemärk,Taevas sin
rõõmsalt,rõõmsalt,määrsõna,Taevas sin
vulisevad,vulisev,omadussõna algvõrre,Taevas sin
veed,vesi,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Ära,ära,tegusõna,Taevas sin
mulle,mina,asesõna,Taevas sin
silma,silm,nimisõna,Taevas sin
tüki,tükk,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
päikene,päikene,nimisõna,Taevas sin
",",",",lausemärk,Taevas sin
va,va,omadussõna algvõrre,Taevas sin
pudrusilm,pudrusilm,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Läbi,läbi,kaassõna,Taevas sin
väikse,väike,omadussõna algvõrre,Taevas sin
klaasitüki,klaasitükk,nimisõna,Taevas sin
roheline,roheline,omadussõna algvõrre,Taevas sin
näib,näima,tegusõna,Taevas sin
maailm,maailm,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
kohtume,kohtuma,tegusõna,Taevas sin
me,mina,asesõna,Taevas sin
täna,täna,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
õhtusinas,õhtusina,nimisõna,Taevas sin
laternate,latern,nimisõna,Taevas sin
all,all,kaassõna,Taevas sin
.,.,lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
Pille-Riin,Pille-Riin,pärisnimi,Taevas sin
",",",",lausemärk,Taevas sin
lapsepõlv,lapsepõlv,nimisõna,Taevas sin
on,olema,tegusõna,Taevas sin
möödas,möödas,määrsõna,Taevas sin
siin,siin,määrsõna,Taevas sin
",",",",lausemärk,Taevas sin
varakevadisel,varakevadine,omadussõna algvõrre,Taevas sin
tänaval,tänav,nimisõna,Taevas sin
.,.,lausemärk,Taevas sin
Tüdruk,tüdruk,nimisõna,Tüdruk vaa
vaatab,vaatama,tegusõna,Tüdruk vaa
lille,lill,nimisõna,Tüdruk vaa
",",",",lausemärk,Tüdruk vaa
lill,lill,nimisõna,Tüdruk vaa
kasvab,kasvama,tegusõna,Tüdruk vaa
rohus,rohi,nimisõna,Tüdruk vaa
